0,
1,18th and Broadway
2,71 Waterwitch Avenue
3,73484 Twentynine Palms Hwy
4,600 E. 2nd Street
5,123 W. Illinois ave. 
6,3234 S. LaChance Rd
7,140 W 62nd Street
8,6100 S. Blackstone Ave
9,229 Lake Ella Drive
10,Broadway between Heron & State St
11,Corner of Remsburg Drive & Cummings St
12,22049 Main Street
13,110 W. Main St. 
14,103 Carlisle Street
15,100 East Penn Drive
16,"79-7500 Mamalahoa Highway, Unit 1"
17,108 Indian Head Road
18,7777 Walnut Grove Rd
19,1201 Ala Moana Boulevard
20,17375 Spring Hill Dr
21,5920 NW 13th Street
22,255 E Basse
23,Corner of 6th Street and State Avenue's Parking Lot
24,4th & Ellsworth
25,208 E. State Street
26,Route 12
27,Broadway & Second Ave
28,2727 JACKSON STREET
29,Clark St. and Lake St.
30,Jefferson
31,807  N. State
32,17675 SW Farmington Rd and SW Kinnaman Rd
33,108 S Main St
34,29 West Butler Pike
35,300 & 400 Blocks of  Main Street
36,186 Recreation Road
37,303 Madison Street
38,Kennedy Common (306 Main)
39,611 R Avenue
40,402 N. Murray Ave
41,1505 US-127 N
42,1500 W. Catalpa Ave.
43,41 Central Street
44,6621 Columbia Pike
45,25 East Cedar St
46,420 Field Street
47,900 Skidmore Drive
48,100 College Avenue
49,Memorial Blvd
50,120 Hillside Avenue
51,35 Dexter St
52,3904 VT-7A
53,85 Parade St
54,2400 Bradley Beach Road
55,Artisan Alley
56,1966 Broad Street
57,125 Front St
58,12th and Commercial St.
59,3300 Aggie Road
60,Between 5th and 6th Streets on the south side of Main Street
61,1002 East State Street
62,271 W Hancock Ave
63,705 Sunset Dr
64,30355 N 3rd Street
65,201 County Street
66,3528 Larga Ave
67,1140 Auburn Way S
68,170 Main Street
69,2031 S. Elliott Ave.
70,9607 RESEARCH BLVD
71,8190 E US Highway 36
72,"281 COUNTRY CLUB RD., C/O AVON LIBRARY"
73,12530 Black Forest Rd
74,13710 Black Forest Road 
75,6845 Shoup Road 
76,201 Grant Ave
77,Main St. and 6th Ave.
78,5300 Ballard AVE NW
79,12205 Heritage Hwy
80,Corner of Franklin and Harlow Streets
81,3782 Winding Creek Ln
82,14 Birdsall St.
83,30 N. Broad St
84,101 Midland Avenue
85,200 Clark St.
86,1302 Chestnut Street
87,North River Street
88,Main and Boehringer Street
89,25 S McCamly St
90,500 Baybrook Mall Drive
91,Indian Creek Mall 2205 N 6th St
92,26 Hwy 52 W
93,Hwy 231 South 
94,4801 Franklin Avenue
95,209 Route 101
96,3055 River Road
97,2 South Bond Street
98,1815 M St. 
99,Main and 4th
100,1207 10th Street
101,5429 State Route 19N
102,Memorial Park
103,Union Square Parking Lot--2nd Street & Paul Bunyan Drive
104,First Street between B & D Streets
105,Elm and Harrison
106,100 N. Main Street 
107,129 Fairfax Street at Washington Street/522
108,12290 Sylvania-Metamora Rd
109,11 Sullivan St.
110,1st Avenue N and 19th Street
111,995 9th Ave SW
112,213 N Priaire St
113,601 castle court
114,7600 Arlington Road
115,Intersection of New and Morton Streets
116,9300 Civic Center Dr
117,E Main St and S Dawson Ave
118,42900 Big Bear Blvd
119,101 Lakeshore Drive
120,311 Lake Street South
121,25 Concord Road
122,226 N Water St
123,5 Stillwater Road
124,5050 Liberty Ave
125,401 N MortonSt
126,1601 S Rogers St
127,4335 Glendale Milford Road
128,1837 Plaudit Place
129,102 S Main St
130,360 N Main St
131,1415 Key Highway
132,10TH & GROVE  - SUMMER MARKET
133,516 S. 8th Street
134,1961 Burlington Pike
135,7th and Story Street
136,1931 Boone Village Shopping Center
137,90 Town Center St
138,6th Street and Main Street
139,304 N. Main Street
140,15200 Annapolis Road 
141,2420 Center Street
142,10699 US-60
143,319 N. Lake St
144,5401 south braeswood
145,1 JFK Memorial Dr
146,570 Western Ave.
147,80 Flat St.
148,3215 Quicksand Road
149,1400 Park Ave
150,1 Vogt Drive
151,20 N Main Street
152,"Hitchcock Free Academy, a community center parking lot, at  2 Brookfield Rd."
153,807 Broad St.
154,161 S Main St
155,45 School St
156,925 E. Mt. Vernon Avenue
157,15786 HWY 101 SOUTH
158,Centre Street West PArking Lot
159,6425 Wornall Road 
160,15487 Citrus Way
161,116 Main Street
162,840 Upper Front St
163,201 Thayer St
164,61 N. Green Street
165,Corner of Hwy 8 and N Alvey Street
166,277 Pleasant Hill Rd
167,775 Lancaster Avenue
168,100 N. First Street
169,99 Main Street
170,"150 N. Third Street Burbank, CA 91502"
171,5671 Roberts Parkway
172,626 County Road
173,345 Pine Street
174,75 Tinkham Lane
175,701 Cedar
176,Uptown Butte
177,7930 Fall Creek Bend
178,2022 S Scott St
179,7 0 Main Street
180,600 Cagan Park Ave.
181,891 Mountain Ranch Road
182,505 S. Algiers St. 
183,Pearl St
184,3920 N Greenbay Rd
185,"California Avenue, at El Camino"
186,22810 Three Notch Road
187,2220 Ventura Blvd.
188,1000 Main Street
189,Camden Avenue and Union Avenue
190,333 Erlanger Ave. (corner of 3rd. St.)
191,Burke Junction Shopping Certer
192,7634 Alexandria Pike
193,3504 Alexandria Pike
194,709 Monmouth St
195,Campbell Avenue & Central Avenue
196,200 Harding Street
197,36 East Canal Street
198,127 West Center Street
199,7248 Owensmouth st
200,500 North Ridge Road
201,300 Market Ave N
202,SE 47th Terrace & SE 10th Place
203,35 S Spanish Street
204,126 West Loockerman Street (Loockerman Way Plaza)
205,1300 Pennsylvania Avenue
206,3690 The Barnyard
207,Corner of Bird and Stossel
208,6619 hwy 29 north
209,301 W Main St
210,Carrollton Uptown Square
211,3rd & Curry St. 
212,94 FAIRGROUND DR
213,131 Jessica Lane
214,108 Main St.
215,2325 Boston Neck Rd.
216,3070 11th Ave Dr. SE
217,4965 Catawba Creek Road
218,6770 Cave Spring Rd SW
219,Corner Of NW Cornell and Murray Roads
220,1046 Cedar Point Blvd.
